"","ID","status","response","accuracy","target","contrast","item","cswl_list","recruitmentplatform","minimalpair"
"213","4441","complete","lebno.jpg",1,"lebno.wav","0","8","B","sona","0"
"214","4441","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","B","sona","0"
"215","4441","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","B","sona","1"
"216","4441","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","B","sona","1"
"217","4441","complete","pinre.jpg",1,"pinre.wav","0","10","B","sona","0"
"218","4441","complete","lebno.jpg",1,"lebno.wav","0","7","B","sona","0"
"219","4441","complete","tapsa.jpg",1,"tapsa.wav","0","3","B","sona","0"
"220","4441","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","B","sona","1"
"221","11944","complete","ttapsa.jpg",0,"tapsa.wav","1","1","A","sona","1"
"222","11944","complete","pinre.jpg",1,"pinre.wav","0","9","A","sona","0"
"223","11944","complete","lebno.jpg",1,"lebno.wav","0","8","A","sona","0"
"224","11944","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","A","sona","0"
"225","11944","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","A","sona","1"
"226","11944","complete","ttapsa.jpg",0,"t2_tapsa.wav","1","2","A","sona","1"
"227","11944","complete","pinre.jpg",1,"pinre.wav","0","10","A","sona","0"
"228","11944","complete","lebno.jpg",1,"lebno.wav","0","7","A","sona","0"
"229","11944","complete","tapsa.jpg",1,"tapsa.wav","0","3","A","sona","0"
"230","11944","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","A","sona","1"
"231","8206","complete","ttapsa.jpg",0,"tapsa.wav","1","1","A","sona","1"
"232","8206","complete","pinre.jpg",1,"pinre.wav","0","9","A","sona","0"
"233","8206","complete","lebno.jpg",1,"lebno.wav","0","8","A","sona","0"
"234","8206","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","A","sona","0"
"235","8206","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","A","sona","1"
"236","8206","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","A","sona","1"
"237","8206","complete","pinre.jpg",1,"pinre.wav","0","10","A","sona","0"
"238","8206","complete","lebno.jpg",1,"lebno.wav","0","7","A","sona","0"
"239","8206","complete","tapsa.jpg",1,"tapsa.wav","0","3","A","sona","0"
"240","8206","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","A","sona","1"
"241","9694","complete","ttapsa.jpg",0,"tapsa.wav","1","1","A","sona","1"
"242","9694","complete","pinre.jpg",1,"pinre.wav","0","9","A","sona","0"
"243","9694","complete","lebno.jpg",1,"lebno.wav","0","8","A","sona","0"
"244","9694","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","A","sona","0"
"245","9694","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","A","sona","1"
"246","9694","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","A","sona","1"
"247","9694","complete","pinre.jpg",1,"pinre.wav","0","10","A","sona","0"
"248","9694","complete","lebno.jpg",1,"lebno.wav","0","7","A","sona","0"
"249","9694","complete","tapsa.jpg",1,"tapsa.wav","0","3","A","sona","0"
"250","9694","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","A","sona","1"
"251","11212","complete","ttapsa.jpg",0,"tapsa.wav","1","1","A","sona","1"
"252","11212","complete","pinre.jpg",1,"pinre.wav","0","9","A","sona","0"
"253","11212","complete","lebno.jpg",1,"lebno.wav","0","8","A","sona","0"
"254","11212","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","A","sona","0"
"255","11212","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","A","sona","1"
"256","11212","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","A","sona","1"
"257","11212","complete","pinre.jpg",1,"pinre.wav","0","10","A","sona","0"
"258","11212","complete","lebno.jpg",1,"lebno.wav","0","7","A","sona","0"
"259","11212","complete","tapsa.jpg",1,"tapsa.wav","0","3","A","sona","0"
"260","11212","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","A","sona","1"
"261","11791","complete","tapsa.jpg",1,"tapsa.wav","1","1","A","sona","1"
"262","11791","complete","pinre.jpg",1,"pinre.wav","0","9","A","sona","0"
"263","11791","complete","lebno.jpg",1,"lebno.wav","0","8","A","sona","0"
"264","11791","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","A","sona","0"
"265","11791","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","A","sona","1"
"266","11791","complete","ttapsa.jpg",0,"t2_tapsa.wav","1","2","A","sona","1"
"267","11791","complete","pinre.jpg",1,"pinre.wav","0","10","A","sona","0"
"268","11791","complete","lebno.jpg",1,"lebno.wav","0","7","A","sona","0"
"269","11791","complete","tapsa.jpg",1,"tapsa.wav","0","3","A","sona","0"
"270","11791","complete","tapsa.jpg",0,"t2_ttapsa.wav","1","4","A","sona","1"
