Subject,Time,Run,fROI,value,Sentences,Sentences_deriv,Nonwords,Nonwords_deriv,R1,R2,R3,R4,R5,R6
249,108,1,3,710.4782609,-0.132398887,-0.030326893,1.135272346,0.018481046,0.01439013,0.026289391,-0.043547593,0.000774385,0.000111814,0.000124169
249,108,1,2,787.2567568,-0.132398887,-0.030326893,1.135272346,0.018481046,0.01439013,0.026289391,-0.043547593,0.000774385,0.000111814,0.000124169
249,108,1,1,681.8918919,-0.132398887,-0.030326893,1.135272346,0.018481046,0.01439013,0.026289391,-0.043547593,0.000774385,0.000111814,0.000124169
249,108,2,4,604.4233129,1.135272346,0.018481046,-0.132398887,-0.030326893,-0.024336109,0.069312355,0.015034163,-0.000107187,0.000695938,0.000789595
249,108,2,5,697.5525424,1.135272346,0.018481046,-0.132398887,-0.030326893,-0.024336109,0.069312355,0.015034163,-0.000107187,0.000695938,0.000789595
249,108,2,3,723.0217391,1.135272346,0.018481046,-0.132398887,-0.030326893,-0.024336109,0.069312355,0.015034163,-0.000107187,0.000695938,0.000789595
249,108,2,2,801.7702703,1.135272346,0.018481046,-0.132398887,-0.030326893,-0.024336109,0.069312355,0.015034163,-0.000107187,0.000695938,0.000789595
249,108,2,1,672.8378378,1.135272346,0.018481046,-0.132398887,-0.030326893,-0.024336109,0.069312355,0.015034163,-0.000107187,0.000695938,0.000789595
249,109,1,5,681.620339,-0.14119336,0.003678132,1.140266523,-0.013655118,-0.000450478,0.03611262,-0.037821703,0.000162341,0.0001826,4.56E-05
249,109,1,3,707.6521739,-0.14119336,0.003678132,1.140266523,-0.013655118,-0.000450478,0.03611262,-0.037821703,0.000162341,0.0001826,4.56E-05
249,109,1,2,783.527027,-0.14119336,0.003678132,1.140266523,-0.013655118,-0.000450478,0.03611262,-0.037821703,0.000162341,0.0001826,4.56E-05
249,109,1,4,608.3128834,-0.14119336,0.003678132,1.140266523,-0.013655118,-0.000450478,0.03611262,-0.037821703,0.000162341,0.0001826,4.56E-05
249,109,1,1,668.6486486,-0.14119336,0.003678132,1.140266523,-0.013655118,-0.000450478,0.03611262,-0.037821703,0.000162341,0.0001826,4.56E-05
249,109,2,5,703.440678,1.140266523,-0.013655118,-0.14119336,0.003678132,0.022040199,-0.384535293,-0.675577432,0.011176311,-0.002958915,0.00245103
249,109,2,3,727.0652174,1.140266523,-0.013655118,-0.14119336,0.003678132,0.022040199,-0.384535293,-0.675577432,0.011176311,-0.002958915,0.00245103
249,109,2,2,803.2162162,1.140266523,-0.013655118,-0.14119336,0.003678132,0.022040199,-0.384535293,-0.675577432,0.011176311,-0.002958915,0.00245103
249,109,2,4,616.2269939,1.140266523,-0.013655118,-0.14119336,0.003678132,0.022040199,-0.384535293,-0.675577432,0.011176311,-0.002958915,0.00245103
249,109,2,1,682.1621622,1.140266523,-0.013655118,-0.14119336,0.003678132,0.022040199,-0.384535293,-0.675577432,0.011176311,-0.002958915,0.00245103
249,11,1,3,719.1086957,0.82896772,0.169054819,0,0,-0.001322496,0.003360396,0.051694629,-8.52E-05,0.000202072,-3.11E-05
249,11,1,2,787.0810811,0.82896772,0.169054819,0,0,-0.001322496,0.003360396,0.051694629,-8.52E-05,0.000202072,-3.11E-05
249,11,1,4,610.7607362,0.82896772,0.169054819,0,0,-0.001322496,0.003360396,0.051694629,-8.52E-05,0.000202072,-3.11E-05
249,11,1,1,680.6216216,0.82896772,0.169054819,0,0,-0.001322496,0.003360396,0.051694629,-8.52E-05,0.000202072,-3.11E-05
249,11,1,5,695.1254237,0.82896772,0.169054819,0,0,-0.001322496,0.003360396,0.051694629,-8.52E-05,0.000202072,-3.11E-05
249,11,2,3,713.0652174,0,0,0.82896772,0.169054819,-0.006980793,0.007773209,0.044958057,0.000328074,0.001115616,0.000257237
249,11,2,2,781.7297297,0,0,0.82896772,0.169054819,-0.006980793,0.007773209,0.044958057,0.000328074,0.001115616,0.000257237
249,11,2,4,603.7791411,0,0,0.82896772,0.169054819,-0.006980793,0.007773209,0.044958057,0.000328074,0.001115616,0.000257237
249,11,2,1,659.7837838,0,0,0.82896772,0.169054819,-0.006980793,0.007773209,0.044958057,0.000328074,0.001115616,0.000257237
249,11,2,5,690.3389831,0,0,0.82896772,0.169054819,-0.006980793,0.007773209,0.044958057,0.000328074,0.001115616,0.000257237
249,110,1,2,783.9054054,-0.113502332,0.017242903,1.111258609,-0.026196197,-0.003487756,0.047280699,0.007184683,0.000192221,0.000478085,1.78E-05
249,110,1,1,669.1621622,-0.113502332,0.017242903,1.111258609,-0.026196197,-0.003487756,0.047280699,0.007184683,0.000192221,0.000478085,1.78E-05
249,110,1,3,709.7173913,-0.113502332,0.017242903,1.111258609,-0.026196197,-0.003487756,0.047280699,0.007184683,0.000192221,0.000478085,1.78E-05
249,110,1,5,683.7355932,-0.113502332,0.017242903,1.111258609,-0.026196197,-0.003487756,0.047280699,0.007184683,0.000192221,0.000478085,1.78E-05
249,110,1,4,606.5398773,-0.113502332,0.017242903,1.111258609,-0.026196197,-0.003487756,0.047280699,0.007184683,0.000192221,0.000478085,1.78E-05
249,110,2,2,808.4594595,1.111258609,-0.026196197,-0.113502332,0.017242903,0.044740415,-0.014237824,0.358914938,-0.001731287,0.000682929,6.27E-05
249,110,2,1,686.0810811,1.111258609,-0.026196197,-0.113502332,0.017242903,0.044740415,-0.014237824,0.358914938,-0.001731287,0.000682929,6.27E-05
249,110,2,3,719.8913043,1.111258609,-0.026196197,-0.113502332,0.017242903,0.044740415,-0.014237824,0.358914938,-0.001731287,0.000682929,6.27E-05
249,110,2,5,708.8033898,1.111258609,-0.026196197,-0.113502332,0.017242903,0.044740415,-0.014237824,0.358914938,-0.001731287,0.000682929,6.27E-05
249,110,2,4,614.5398773,1.111258609,-0.026196197,-0.113502332,0.017242903,0.044740415,-0.014237824,0.358914938,-0.001731287,0.000682929,6.27E-05
249,111,1,5,687.0338983,-0.076660214,0.018943857,1.074442594,-0.027375143,-0.006614482,-0.015899631,-0.036895613,0.000769583,0.00062815,9.86E-05
249,111,1,4,608.2453988,-0.076660214,0.018943857,1.074442594,-0.027375143,-0.006614482,-0.015899631,-0.036895613,0.000769583,0.00062815,9.86E-05
249,111,1,2,790.0135135,-0.076660214,0.018943857,1.074442594,-0.027375143,-0.006614482,-0.015899631,-0.036895613,0.000769583,0.00062815,9.86E-05
249,111,1,1,676.1351351,-0.076660214,0.018943857,1.074442594,-0.027375143,-0.006614482,-0.015899631,-0.036895613,0.000769583,0.00062815,9.86E-05
249,111,1,3,707.8695652,-0.076660214,0.018943857,1.074442594,-0.027375143,-0.006614482,-0.015899631,-0.036895613,0.000769583,0.00062815,9.86E-05
249,111,2,5,700.8474576,1.074442594,-0.027375143,-0.076660214,0.018943857,-0.004914834,-0.292177433,0.134057657,-0.001908363,0.001711662,0.000303534
249,111,2,4,609.3803681,1.074442594,-0.027375143,-0.076660214,0.018943857,-0.004914834,-0.292177433,0.134057657,-0.001908363,0.001711662,0.000303534
249,111,2,2,793.0135135,1.074442594,-0.027375143,-0.076660214,0.018943857,-0.004914834,-0.292177433,0.134057657,-0.001908363,0.001711662,0.000303534
249,111,2,1,685.3513514,1.074442594,-0.027375143,-0.076660214,0.018943857,-0.004914834,-0.292177433,0.134057657,-0.001908363,0.001711662,0.000303534
249,111,2,3,717.5652174,1.074442594,-0.027375143,-0.076660214,0.018943857,-0.004914834,-0.292177433,0.134057657,-0.001908363,0.001711662,0.000303534
249,112,1,5,688.3389831,-0.04459684,0.015423543,1.043214371,-0.023397254,-0.014181846,0.01689223,-0.024127353,0.000737935,0.000485797,0.000252575
249,112,1,4,608.0122699,-0.04459684,0.015423543,1.043214371,-0.023397254,-0.014181846,0.01689223,-0.024127353,0.000737935,0.000485797,0.000252575
249,112,1,1,679.2702703,-0.04459684,0.015423543,1.043214371,-0.023397254,-0.014181846,0.01689223,-0.024127353,0.000737935,0.000485797,0.000252575
249,112,1,2,788,-0.04459684,0.015423543,1.043214371,-0.023397254,-0.014181846,0.01689223,-0.024127353,0.000737935,0.000485797,0.000252575
249,112,1,3,706.8478261,-0.04459684,0.015423543,1.043214371,-0.023397254,-0.014181846,0.01689223,-0.024127353,0.000737935,0.000485797,0.000252575
249,112,2,5,696.5762712,1.043214371,-0.023397254,-0.04459684,0.015423543,-0.017198936,-0.168667673,0.269576248,-0.002500921,0.001861453,0.0003567
249,112,2,4,609.9325153,1.043214371,-0.023397254,-0.04459684,0.015423543,-0.017198936,-0.168667673,0.269576248,-0.002500921,0.001861453,0.0003567
249,112,2,1,680.5135135,1.043214371,-0.023397254,-0.04459684,0.015423543,-0.017198936,-0.168667673,0.269576248,-0.002500921,0.001861453,0.0003567
249,112,2,2,795.6351351,1.043214371,-0.023397254,-0.04459684,0.015423543,-0.017198936,-0.168667673,0.269576248,-0.002500921,0.001861453,0.0003567
249,112,2,3,712.9130435,1.043214371,-0.023397254,-0.04459684,0.015423543,-0.017198936,-0.168667673,0.269576248,-0.002500921,0.001861453,0.0003567
249,113,1,5,683.8237288,0.069675153,0.084787989,0.943155994,-0.083747264,-0.012477872,0.041347858,0.003669301,-3.59E-05,0.000550944,0.000266635
249,113,1,1,673.4864865,0.069675153,0.084787989,0.943155994,-0.083747264,-0.012477872,0.041347858,0.003669301,-3.59E-05,0.000550944,0.000266635
249,113,1,4,606.9631902,0.069675153,0.084787989,0.943155994,-0.083747264,-0.012477872,0.041347858,0.003669301,-3.59E-05,0.000550944,0.000266635
249,113,1,3,708.6086957,0.069675153,0.084787989,0.943155994,-0.083747264,-0.012477872,0.041347858,0.003669301,-3.59E-05,0.000550944,0.000266635
249,113,1,2,784.4189189,0.069675153,0.084787989,0.943155994,-0.083747264,-0.012477872,0.041347858,0.003669301,-3.59E-05,0.000550944,0.000266635
249,113,2,5,697.4305085,0.943155994,-0.083747264,0.069675153,0.084787989,-0.016285204,-0.279929493,0.141489289,-0.000822004,0.001935024,0.000432295
249,113,2,1,683.6216216,0.943155994,-0.083747264,0.069675153,0.084787989,-0.016285204,-0.279929493,0.141489289,-0.000822004,0.001935024,0.000432295
249,113,2,4,610.7546012,0.943155994,-0.083747264,0.069675153,0.084787989,-0.016285204,-0.279929493,0.141489289,-0.000822004,0.001935024,0.000432295
249,113,2,3,711.2391304,0.943155994,-0.083747264,0.069675153,0.084787989,-0.016285204,-0.279929493,0.141489289,-0.000822004,0.001935024,0.000432295
249,113,2,2,795.9864865,0.943155994,-0.083747264,0.069675153,0.084787989,-0.016285204,-0.279929493,0.141489289,-0.000822004,0.001935024,0.000432295
249,114,1,1,668.2162162,0.436547379,0.202965837,0.589179296,-0.207903252,-0.008220746,0.0111878,-0.016167178,0.000253432,0.000803284,0.000256125
249,114,1,4,605.8773006,0.436547379,0.202965837,0.589179296,-0.207903252,-0.008220746,0.0111878,-0.016167178,0.000253432,0.000803284,0.000256125
249,114,1,2,786.1756757,0.436547379,0.202965837,0.589179296,-0.207903252,-0.008220746,0.0111878,-0.016167178,0.000253432,0.000803284,0.000256125
249,114,1,3,711.3695652,0.436547379,0.202965837,0.589179296,-0.207903252,-0.008220746,0.0111878,-0.016167178,0.000253432,0.000803284,0.000256125
249,114,1,5,686.0305085,0.436547379,0.202965837,0.589179296,-0.207903252,-0.008220746,0.0111878,-0.016167178,0.000253432,0.000803284,0.000256125
249,114,2,1,677.9189189,0.589179296,-0.207903252,0.436547379,0.202965837,0.000114799,-0.195472613,0.251730468,-0.002256001,0.003002954,0.000658103
249,114,2,4,609.4785276,0.589179296,-0.207903252,0.436547379,0.202965837,0.000114799,-0.195472613,0.251730468,-0.002256001,0.003002954,0.000658103
249,114,2,2,798.6621622,0.589179296,-0.207903252,0.436547379,0.202965837,0.000114799,-0.195472613,0.251730468,-0.002256001,0.003002954,0.000658103
249,114,2,3,715.8043478,0.589179296,-0.207903252,0.436547379,0.202965837,0.000114799,-0.195472613,0.251730468,-0.002256001,0.003002954,0.000658103
249,114,2,5,700,0.589179296,-0.207903252,0.436547379,0.202965837,0.000114799,-0.195472613,0.251730468,-0.002256001,0.003002954,0.000658103
249,115,1,3,716.1304348,0.824254554,0.171600576,0.195249719,-0.184949286,-0.012950989,0.016825906,-0.042057663,0.00054333,0.00056473,0.000373821
249,115,1,5,692.0169492,0.824254554,0.171600576,0.195249719,-0.184949286,-0.012950989,0.016825906,-0.042057663,0.00054333,0.00056473,0.000373821
249,115,1,2,790.2972973,0.824254554,0.171600576,0.195249719,-0.184949286,-0.012950989,0.016825906,-0.042057663,0.00054333,0.00056473,0.000373821
249,115,1,1,672.5405405,0.824254554,0.171600576,0.195249719,-0.184949286,-0.012950989,0.016825906,-0.042057663,0.00054333,0.00056473,0.000373821
